Customer,Alternatives,Choice,Price,Energy Loss,Maintenance,Warranty,Spare Parts,Ease of Install,Prob Solver,Quality
Customer 54 ,GE,0,3,4,6,5,5,4,7,2
Customer 54 ,Westinghouse,0,3,4,3,1,4,6,4,3
Customer 54 ,Edison,0,5,3,6,2,3,6,5,5
Customer 55 ,ABB,0,4,4,4,5,3,3,5,5
Customer 55 ,GE,0,4,4,4,3,3,5,5,4
Customer 55 ,Westinghouse,0,3,3,5,3,7,7,5,3
Customer 55 ,Edison,1,6,6,6,6,3,6,6,4
Customer 56 ,ABB,0,5,3,5,3,6,5,5,5
Customer 56 ,GE,0,4,3,3,4,2,4,5,5
Customer 56 ,Westinghouse,1,3,4,6,9,7,6,7,3
Customer 56 ,Edison,0,3,4,5,5,1,6,5,3
Customer 57 ,ABB,1,6,5,5,6,6,6,6,4
Customer 57 ,GE,0,5,5,5,5,4,6,6,5
Customer 57 ,Westinghouse,0,4,5,5,4,6,6,5,5
Customer 57 ,Edison,0,2,4,5,3,5,6,4,2
Customer 58 ,ABB,1,3,4,6,8,8,6,6,4
Customer 58 ,GE,0,1,3,5,3,4,5,4,2
Customer 58 ,Westinghouse,0,4,3,6,6,5,2,6,5
Customer 58 ,Edison,0,2,3,2,2,2,5,3,2
Customer 59 ,ABB,0,4,4,4,5,3,5,6,4
Customer 59 ,GE,0,1,3,6,7,5,7,6,2
Customer 59 ,Westinghouse,1,4,5,5,6,4,8,6,4
Customer 59 ,Edison,0,4,4,5,9,4,5,6,3
Customer 60 ,ABB,0,4,4,6,7,5,4,6,4
Customer 60 ,GE,1,7,7,4,4,4,3,6,7
Customer 60 ,Westinghouse,0,3,3,7,9,7,5,6,4
Customer 60 ,Edison,0,4,4,4,2,4,5,4,4
Customer 61 ,ABB,1,6,5,6,5,4,4,6,5
Customer 61 ,GE,0,2,4,5,5,4,9,6,4
Customer 61 ,Westinghouse,0,6,6,5,6,4,4,5,5
Customer 61 ,Edison,0,5,5,4,3,5,5,5,5
Customer 62 ,ABB,0,4,4,4,1,3,8,4,4
Customer 62 ,GE,0,3,3,4,2,5,3,4,4
Customer 62 ,Westinghouse,1,4,6,5,2,2,6,5,5
Customer 62 ,Edison,0,1,1,5,3,3,2,4,3
Customer 63 ,ABB,0,4,5,5,5,7,2,6,4
Customer 63 ,GE,0,4,5,6,6,7,4,7,4
Customer 63 ,Westinghouse,1,6,6,6,8,5,5,7,6
Customer 63 ,Edison,0,6,7,5,6,6,4,6,7
Customer 64 ,ABB,0,3,4,5,4,5,2,5,3
Customer 64 ,GE,1,4,4,5,4,3,7,5,4
Customer 64 ,Westinghouse,0,4,4,5,2,6,3,4,4
Customer 64 ,Edison,0,4,5,5,2,4,2,5,4
Customer 65 ,ABB,0,6,5,6,6,3,3,7,6
Customer 65 ,GE,0,6,7,6,5,4,3,7,5
Customer 65 ,Westinghouse,0,5,5,7,6,6,7,6,6
Customer 65 ,Edison,1,7,6,6,4,6,9,7,7
Customer 66 ,ABB,0,3,4,6,5,8,5,6,4
Customer 66 ,GE,1,4,5,5,4,5,6,5,4
Customer 66 ,Westinghouse,0,4,4,4,5,5,2,5,5
Customer 66 ,Edison,0,3,4,5,6,4,6,5,3
Customer 67 ,ABB,0,4,4,6,5,4,4,7,5
Customer 67 ,GE,0,5,5,5,2,3,8,5,5
Customer 67 ,Westinghouse,0,2,3,5,1,6,4,3,3
Customer 67 ,Edison,1,4,5,7,7,4,5,6,4
Customer 68 ,ABB,0,4,5,6,7,5,5,7,5
Customer 68 ,GE,1,4,5,7,8,6,8,7,5
Customer 68 ,Westinghouse,0,5,4,5,5,4,5,6,5
Customer 68 ,Edison,0,5,5,6,2,6,1,5,5
Customer 69 ,ABB,1,3,5,7,9,6,3,7,4
Customer 69 ,GE,0,5,6,5,3,5,6,5,5
Customer 69 ,Westinghouse,0,3,4,4,3,3,8,5,4
Customer 69 ,Edison,0,2,2,5,4,1,2,5,3
Customer 70 ,ABB,0,3,5,5,3,6,3,4,4
Customer 70 ,GE,1,5,5,5,4,6,7,6,5
Customer 70 ,Westinghouse,0,2,3,5,4,2,3,5,3
Customer 70 ,Edison,0,3,4,4,1,2,2,3,3
Customer 71 ,ABB,0,6,6,6,3,4,6,6,6
Customer 71 ,GE,0,4,5,8,5,6,9,6,5
Customer 71 ,Westinghouse,1,5,5,7,6,7,9,8,6
Customer 71 ,Edison,0,3,5,5,4,6,6,6,4
Customer 72 ,ABB,0,5,4,5,2,5,8,5,5
Customer 72 ,GE,0,5,6,5,4,4,3,6,4
Customer 72 ,Westinghouse,0,5,6,6,5,5,4,5,5
Customer 72 ,Edison,1,5,5,6,9,7,4,7,4
Customer 73 ,ABB,0,4,5,6,5,7,6,6,4
Customer 73 ,GE,1,5,5,7,8,7,7,7,6
Customer 73 ,Westinghouse,0,5,4,4,1,3,6,4,5
Customer 73 ,Edison,0,2,3,5,2,4,1,5,2
Customer 74 ,ABB,0,3,3,6,7,6,9,6,4
Customer 74 ,GE,1,5,5,6,5,4,4,5,5
Customer 74 ,Westinghouse,0,3,4,5,3,1,8,4,3
Customer 74 ,Edison,0,3,2,6,6,4,4,5,4
Customer 75 ,ABB,0,4,4,6,5,5,5,6,5
Customer 75 ,GE,0,4,4,6,6,6,7,6,4
Customer 75 ,Westinghouse,0,5,5,7,6,5,7,7,6
Customer 75 ,Edison,1,6,6,6,6,7,7,7,6
Customer 76 ,ABB,0,6,6,6,7,7,8,7,6
Customer 76 ,GE,0,4,5,7,7,7,5,7,5
Customer 76 ,Westinghouse,1,7,7,6,5,7,7,6,7
Customer 76 ,Edison,0,6,6,7,8,8,8,7,6
Customer 77 ,ABB,0,5,4,5,5,6,6,6,5
Customer 77 ,GE,0,3,4,6,4,5,6,6,5
Customer 77 ,Westinghouse,1,7,7,6,5,5,7,6,6
Customer 77 ,Edison,0,5,4,6,5,5,5,6,6
Customer 78 ,ABB,0,5,6,6,6,7,7,6,6
Customer 78 ,GE,0,5,6,7,6,7,7,7,6
Customer 78 ,Westinghouse,0,5,6,8,9,7,7,7,6
Customer 78 ,Edison,1,6,6,7,6,5,6,7,7
Customer 79 ,ABB,0,3,3,6,5,4,4,5,3
Customer 79 ,GE,0,3,3,5,5,5,4,5,4
Customer 79 ,Westinghouse,1,4,4,6,6,5,5,5,4
Customer 79 ,Edison,0,2,3,6,6,6,5,5,3
Customer 80 ,ABB,0,2,3,5,6,5,5,6,3
Customer 80 ,GE,0,4,5,5,6,5,4,6,5
Customer 80 ,Westinghouse,1,5,4,5,5,5,5,6,6
Customer 80 ,Edison,0,4,4,4,5,5,5,6,3
Customer 81 ,ABB,0,5,5,7,5,5,5,6,5
Customer 81 ,GE,1,6,6,6,5,5,5,6,6
Customer 81 ,Westinghouse,0,4,5,5,4,6,7,5,4
Customer 81 ,Edison,0,5,5,6,6,7,6,6,6
Customer 82 ,ABB,0,4,4,6,6,6,7,6,5
Customer 82 ,GE,1,5,6,5,4,6,6,6,5
Customer 82 ,Westinghouse,0,3,3,5,6,5,6,6,5
Customer 82 ,Edison,0,4,3,5,4,4,5,4,4
Customer 83 ,ABB,0,6,7,5,6,5,8,6,6
Customer 83 ,GE,0,5,5,8,5,5,3,6,5
Customer 83 ,Westinghouse,1,7,7,5,5,4,5,7,6
Customer 83 ,Edison,0,4,4,5,5,4,7,5,4
Customer 84 ,ABB,0,5,7,7,8,7,7,7,6
Customer 84 ,GE,1,7,7,6,5,6,7,7,6
Customer 84 ,Westinghouse,0,4,5,7,7,7,5,7,5
Customer 84 ,Edison,0,3,4,7,7,6,4,7,4
Customer 85 ,ABB,0,2,4,5,3,4,5,4,3
Customer 85 ,GE,0,4,4,5,5,6,4,6,4
Customer 85 ,Westinghouse,0,3,5,5,4,3,4,5,4
Customer 85 ,Edison,1,5,4,4,3,4,4,5,5
Customer 86 ,ABB,0,6,6,5,5,5,4,6,5
Customer 86 ,GE,1,5,6,6,6,5,5,6,5
Customer 86 ,Westinghouse,0,4,5,5,5,5,4,5,4
Customer 86 ,Edison,0,5,5,5,5,5,5,6,5
Customer 87 ,ABB,1,6,6,7,7,7,6,7,5
Customer 87 ,GE,0,5,5,7,6,7,8,7,5
Customer 87 ,Westinghouse,0,5,5,6,6,7,7,7,6
Customer 87 ,Edison,0,4,5,6,6,6,5,7,5
Customer 88 ,ABB,0,5,5,5,4,4,5,5,3
Customer 88 ,GE,1,5,4,4,4,4,4,5,5
Customer 88 ,Westinghouse,0,3,4,6,4,4,5,5,4
Customer 88 ,Edison,0,3,3,3,4,3,5,5,3
